Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,-118.2,-78.5,90,bottom
C2,0.1uF,C_0603_1608Metric,-125.5,-86.4,0,bottom
C3,0.1uF,C_0603_1608Metric,-124.2,-79.25,0,bottom
C4,10uF,C_0603_1608Metric,-121.25,-78.5,90,bottom
C5,4.7n,C_0603_1608Metric,-124,-28.25,0,bottom
D1,D_Small,D_SOD-123,-38.7,-39.4,180,bottom
D2,D_Small,D_SOD-123,-56.7,-39.4,180,bottom
D3,D_Small,D_SOD-123,-74.7,-39.4,180,bottom
D4,D_Small,D_SOD-123,-92.7,-39.4,180,bottom
D5,D_Small,D_SOD-123,-110.7,-39.4,180,bottom
D6,D_Small,D_SOD-123,-128.7,-39.4,180,bottom
D7,D_Small,D_SOD-123,-146.7,-39.4,180,bottom
D8,D_Small,D_SOD-123,-164.7,-39.4,180,bottom
D9,D_Small,D_SOD-123,-182.7,-39.4,180,bottom
D10,D_Small,D_SOD-123,-200.7,-39.4,180,bottom
D11,D_Small,D_SOD-123,-218.7,-39.4,180,bottom
D12,D_Small,D_SOD-123,-236.7,-39.4,180,bottom
D13,D_Small,D_SOD-123,-40.95,-56.4,180,bottom
D14,D_Small,D_SOD-123,-61.2,-56.4,180,bottom
D15,D_Small,D_SOD-123,-79.2,-56.4,180,bottom
D16,D_Small,D_SOD-123,-97.2,-56.4,180,bottom
D17,D_Small,D_SOD-123,-115.2,-56.4,180,bottom
D18,D_Small,D_SOD-123,-133.2,-56.4,180,bottom
D19,D_Small,D_SOD-123,-151.2,-56.4,180,bottom
D20,D_Small,D_SOD-123,-169.2,-56.4,180,bottom
D21,D_Small,D_SOD-123,-187.2,-56.4,180,bottom
D22,D_Small,D_SOD-123,-205.2,-56.4,180,bottom
D23,D_Small,D_SOD-123,-230,-56.4,180,bottom
D24,D_Small,D_SOD-123,-45.4,-73.4,180,bottom
D25,D_Small,D_SOD-123,-70.2,-73.4,180,bottom
D26,D_Small,D_SOD-123,-88.2,-73.4,180,bottom
D27,D_Small,D_SOD-123,-106.2,-73.4,180,bottom
D28,D_Small,D_SOD-123,-124.2,-73.4,180,bottom
D29,D_Small,D_SOD-123,-142.2,-73.4,180,bottom
D30,D_Small,D_SOD-123,-160.2,-73.4,180,bottom
D31,D_Small,D_SOD-123,-178.2,-73.4,180,bottom
D32,D_Small,D_SOD-123,-196.2,-73.4,180,bottom
D33,D_Small,D_SOD-123,-214.2,-73.4,180,bottom
D34,D_Small,D_SOD-123,-234.5,-73.4,180,bottom
D35,D_Small,D_SOD-123,-41,-90.4,180,bottom
D36,D_Small,D_SOD-123,-61.2,-90.4,180,bottom
D37,D_Small,D_SOD-123,-79.2,-90.4,180,bottom
D38,D_Small,D_SOD-123,-144.4,-90.4,180,bottom
D39,D_Small,D_SOD-123,-212,-90.4,180,bottom
D40,D_Small,D_SOD-123,-234.6,-90.4,180,bottom
D41,PRTR5V0U2X,SOT-143,-133,-33.5,0,bottom
F1,500mA,Fuse_1206_3216Metric,-139,-33.5,90,bottom
R1,10k,R_0603_1608Metric,-154.225,-85.6,-90,bottom
R2,22,R_0603_1608Metric,-133.8,-39.4,90,bottom
R3,22,R_0603_1608Metric,-132.2,-39.4,90,bottom
R4,10k,R_0603_1608Metric,-119.25,-90.375,90,bottom
R5,5k1,R_0603_1608Metric,-124,-26.5,180,bottom
R6,5k1,R_0603_1608Metric,-142,-26.5,0,bottom
R7,1M,R_0603_1608Metric,-142,-28.25,0,bottom
SW99,SW_Push,SKQG-1155865,-160,-84.5,0,bottom
U1,ATmega32U2-MU,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,-119.5,-84.5,180,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,-133,-20.915,0,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,-125.5,-83,-90,bottom
